JARARACA, REPTIL PEÇONHENTO
ROMA, CAPITAL DA ITALIA
ESPELHO, OBJETO DE BELEZA
RONDONIA, ESTADO BRASILEIRO
JABUTI, REPTIL DE CASCA DURA
DINAMARCA, PAÍS NÓRDICO
ITALIA, PAÍS EUROPEU
ENDOSCOPIA, EXAME MÉDICO
GOIANIA, CAPITAL DE ESTADO
JIBOIA, REPTIL QUE RASTEJA
GASTRITE, DOENÇA
VARIOLA, DOENÇA
FLUMINENSE, TIME BRASILEIRO
GREMIO, TIME BRASILEIRO
PALMEIRAS, TIME BRASILEIRO
DIASPORA, DISPERSÃO DE UM POVO
FILOSOFIA, ÁREA DO SABER
GUARATINGUETA, CIDADE PAULISTA
FILANTROPIA, AÇÃO 
HERCULES, MITOLOGIA GREGA
JUPITER, PLANETA
VASCO, TIME BRASILEIRO
MARTE, PLANETA
INGLATERRA, PAÍS EUROPEU
LEAO, ANIMAL
ANACONDA, REPTIL QUE RASTEJA
VENUS, PLANETA
ANEMIA, DOENÇA
SATURNO, PLANETA
RUSSIA, PAÍS QUE ESTÁ NA ÁSIA E EUROPA
BELGICA, PAÍS EUROPEU
FRAMBOESA, FRUTA
AMORA, FRUTA
TELEFERICO, MEIO DE TRANSPORTE
MOTOCICLETA, VEÍCULO
AMARELO, COR
CAMELO, ANIMAL
GUAXINIM, ANIMAL
CATARRO,
QUARTZO,
VORTICE,
QUIZ,
MARFIM,
INTRIGANTE,
PALMITO,
